student_id,name,age,gender,score,phone,city,email,date_of_join,course,attendance,status,gpa,remarks,money_spent,event_time,address_raw,profile_json,addr_city,addr_district,addr_postal,hobbies,skill_tech_python,skill_tech_excel,skill_tech_sql,skill_soft,siblings,income_father,income_mother,device1_type,device1_brand,device1_year,device2_type,device2_brand,device2_year
113,Joseph Burton,21,Unknown,,NA,East Saraville,shannon36@york-vargas.com,1989-02-18,Data Science,,pending,,good,270.0,1984-08-15,"Apartment 19, Scotthaven district, Tashkent, UZ, 100170","{""hobbies"": [""he"", ""magazine""], ""skills"": {""tech"": {""python"": 5, ""excel"": 4, ""sql"": 3}, ""soft"": [""resource"", ""late""]}, ""family"": {""siblings"": 3, ""income"": {""father"": 945, ""mother"": 632}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""HP"", ""year"": 2022}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2018}]}",Tashkent,Scotthaven district,100170,,5.0,4.0,3.0,,3.0,945.0,632.0,laptop,HP,2022.0,phone,Samsung,2018.0
114,Unknown,22,Unknown,78.0,492-994-0176,Hallton,NA,1982-01-17,Data Science,,inactive,3.72,unknown,289.0,2005-07-24,UZ 100075 Tashkent Boothtown,"{'hobbies': ['degree', 'two'], 'skills': {'tech': {'python': 4, 'excel': 3, 'sql': 1}, 'soft': ['front', 'change']}, 'family': {'siblings': 2, 'income': {'father': 1402, 'mother': 1448}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2024}]}",Tashkent,,100075,,4.0,3.0,1.0,,2.0,1402.0,1448.0,laptop,Dell,2023.0,phone,Xiaomi,2024.0
115,Thomas Meyer,20,Female,76.0,NA,East Robert,pparker@peters-hall.com,2004-06-19,Python,,pending,0.0,unknown,148.0,1993-12-03,"Apartment 5, Fosterside district, Tashkent, UZ, 100730",INVALID_JSON_DATA,Tashkent,Fosterside district,100730,,,,,,,,,,,,,,
116,Susan Bowen,20,Female,50.0,306-319-8751,Port Traceyton,NA,,Data Science,,pending,,  excellent  ,170.0,2018-04-19,"9072 Pratt Summit Suite 990, South Jason","{'hobbies': ['send', 'parent'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 2}, 'soft': ['care', 'fly']}, 'family': {'siblings': 3, 'income': {'father': 330, 'mother': 788}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2024}]}",Tashkent,,,,4.0,4.0,2.0,,3.0,330.0,788.0,laptop,HP,2022.0,phone,Xiaomi,2024.0
117,Richard Burton,21,Unknown,,NA,Catherineview,david83@leon.com,1978-06-06,Python,,inactive,,good,172.0,2021-07-25,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['although', 'at'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 4}, 'soft': ['simple', 'fire']}, 'family': {'siblings': 1, 'income': {'father': 993, 'mother': 869}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}",Tashkent,,,,4.0,2.0,4.0,,1.0,993.0,869.0,laptop,Lenovo,2016.0,phone,Apple,2018.0
118,Andrew Taylor,,Unknown,80.0,134-656-6078,Marvinmouth,NA,2010-06-30,Python,,pending,,unknown,79.0,,"392 Christopher Center, Port Lindseyfort","{'hobbies': ['research', 'keep'], 'skills': {'tech': {'python': 5, 'excel': 4, 'sql': 3}, 'soft': ['recently', 'her']}, 'family': {'siblings': 4, 'income': {'father': 1157, 'mother': 606}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}",Tashkent,,,,5.0,4.0,3.0,,4.0,1157.0,606.0,laptop,Lenovo,2021.0,phone,Samsung,2022.0
119,Unknown,22,Female,,465-463-5098,Port Andrew,sharonbrooks@hotmail.com,1995-01-18,Python,,active,0.0,  excellent  ,61.0,,"Barryborough 13-kv, dom 6, Tashkent","{'hobbies': ['think', 'establish'], 'skills': {'tech': {'python': 2, 'excel': 2, 'sql': 2}, 'soft': ['stop', 'modern']}, 'family': {'siblings': 2, 'income': {'father': 335, 'mother': 1288}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2019}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}",Tashkent,dom 6,,,2.0,2.0,2.0,,2.0,335.0,1288.0,laptop,Dell,2019.0,phone,Apple,2024.0
120,Raymond Stewart,18,Unknown,76.0,NA,Alexanderhaven,NA,2015-01-01,Data Science,,active,,good,73.0,1990-08-02,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['loss', 'own'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 5}, 'soft': ['foot', 'town']}, 'family': {'siblings': 5, 'income': {'father': 593, 'mother': 527}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2018}]}",Tashkent,,,,2.0,1.0,5.0,,5.0,593.0,527.0,laptop,Lenovo,2016.0,phone,Apple,2018.0
121,Andrew Mcdowell,18,Unknown,,738-029-7460,Isaacshire,NA,2022-10-05,Data Science,,pending,,unknown,194.0,1970-06-16,"BROKEN,ADDRESS,DATA,,,","{hobbies:['together', 'sea']}",Tashkent,,,,,,,,,,,,,,,,
122,Glenn Jordan,21,Female,,246-161-8310,Jonesbury,NA,1975-05-08,Data Science,,inactive,1.55,unknown,152.0,1970-05-11,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['manage', 'senior'], 'skills': {'tech': {'python': 1, 'excel': 1, 'sql': 3}, 'soft': ['artist', 'bit']}, 'family': {'siblings': 4, 'income': {'father': 1201, 'mother': 902}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2019}]}",Tashkent,,,,1.0,1.0,3.0,,4.0,1201.0,902.0,laptop,HP,2020.0,phone,Samsung,2019.0
123,Chelsea Thomas,18,Female,71.0,NA,New Hayleymouth,NA,1973-06-16,Data Science,,pending,,good,58.0,1979-02-26,"55540 Wilson Islands, West Steventon",INVALID_JSON_DATA,Tashkent,,55540,,,,,,,,,,,,,,
124,Unknown,20,Male,,NA,Lake Denisemouth,villatheresa@fisher-jones.com,1994-04-23,Data Science,,pending,,average,199.0,2024-11-01,"East Andrewshire 1-kv, dom 31, Tashkent",INVALID_JSON_DATA,Tashkent,dom 31,,,,,,,,,,,,,,,
125,Unknown,,Female,,844-581-8285,Joneston,NA,2004-06-24,Python,,active,,excellent,174.0,1977-02-20,UZ 100418 Tashkent West Angelafort,"{'hobbies': ['worker', 'rise'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 4}, 'soft': ['debate', 'chair']}, 'family': {'siblings': 4, 'income': {'father': 668, 'mother': 1032}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2023}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",Tashkent,,100418,,4.0,2.0,4.0,,4.0,668.0,1032.0,laptop,Lenovo,2023.0,phone,Xiaomi,2019.0
126,Mark Scott,21,Unknown,79.0,611-281-7987,Port Carolyn,NA,2008-05-21,Data Science,87.0,pending,0.0,excellent,299.0,1993-10-25,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['bed', 'agree'], 'skills': {'tech': {'python': 2, 'excel': 1, 'sql': 1}, 'soft': ['town', 'expect']}, 'family': {'siblings': 4, 'income': {'father': 431, 'mother': 751}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2024}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",Tashkent,,,,2.0,1.0,1.0,,4.0,431.0,751.0,laptop,HP,2024.0,phone,Xiaomi,2023.0
127,Lindsey Jacobs,20,Unknown,81.0,NA,Bushmouth,NA,1993-07-10,Data Science,87.0,pending,,  excellent  ,293.0,,"Apartment 41, Lake Patriciaborough district, Tashkent, UZ, 100625","{hobbies:['half', 'tax']}",Tashkent,Lake Patriciaborough district,100625,,,,,,,,,,,,,,
128,Michael Gay,20,Male,83.0,580-047-6884,East Carlaville,NA,2017-02-19,Data Science,,active,0.0,unknown,286.0,1983-09-03,UZ 100183 Tashkent Padillaborough,"{'hobbies': ['campaign', 'create'], 'skills': {'tech': {'python': 1, 'excel': 2, 'sql': 4}, 'soft': ['coach', 'support']}, 'family': {'siblings': 3, 'income': {'father': 676, 'mother': 844}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2022}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2023}]}",Tashkent,,100183,,1.0,2.0,4.0,,3.0,676.0,844.0,laptop,HP,2022.0,phone,Xiaomi,2023.0
129,Jeffrey Murphy,19,Female,88.0,853-844-0650,North Jessica,NA,2004-03-22,Python,,pending,,good,222.0,2007-02-01,"1902 William Causeway Apt. 941, South Melissa","{hobbies:['visit', 'Mrs']}",Tashkent,,,,,,,,,,,,,,,,
130,Tamara Nguyen,22,Female,,NA,South Nathanberg,claire76@saunders.com,2001-10-10,Python,63.0,inactive,,unknown,228.0,,"Apartment 22, Gillside district, Tashkent, UZ, 100582","{hobbies:['international', 'language']}",Tashkent,Gillside district,100582,,,,,,,,,,,,,,
131,Maxwell Dickson,18,Female,100.0,566-503-6519,West Ricardo,NA,2001-11-14,Python,,pending,,  excellent  ,205.0,1974-11-13,"BROKEN,ADDRESS,DATA,,,","{hobbies:['have', 'give']}",Tashkent,,,,,,,,,,,,,,,,
132,Unknown,19,Female,,817-169-5662,West Jacobmouth,NA,1981-03-22,Python,87.0,pending,0.0,good,290.0,1974-05-24,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['vote', 'poor'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 2}, 'soft': ['far', 'safe']}, 'family': {'siblings': 1, 'income': {'father': 961, 'mother': 1331}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",Tashkent,,,,4.0,4.0,2.0,,1.0,961.0,1331.0,laptop,Dell,2016.0,phone,Apple,2021.0
133,Unknown,20,Female,79.0,338-991-2733,Whiteburgh,NA,1995-02-20,Python,,inactive,0.0,  excellent  ,142.0,,UZ 100829 Tashkent Robertton,INVALID_JSON_DATA,Tashkent,,100829,,,,,,,,,,,,,,
134,Unknown,21,Female,77.0,NA,Woodmouth,NA,1987-08-24,Data Science,,pending,,good,94.0,2010-04-14,"Apartment 50, North Daniel district, Tashkent, UZ, 100874","{hobbies:['watch', 'full']}",Tashkent,North Daniel district,100874,,,,,,,,,,,,,,
135,Victoria Davidson,20,Female,92.0,482-352-8541,Jessicatown,NA,1981-11-05,Data Science,,inactive,,average,129.0,1974-02-15,"Apartment 10, Port Brittney district, Tashkent, UZ, 100582","{'hobbies': ['catch', 'interesting'], 'skills': {'tech': {'python': 5, 'excel': 2, 'sql': 2}, 'soft': ['environment', 'understand']}, 'family': {'siblings': 0, 'income': {'father': 1007, 'mother': 1457}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2021}, {'type': 'phone', 'brand': 'Samsung', 'year': 2019}]}",Tashkent,Port Brittney district,100582,,5.0,2.0,2.0,,0.0,1007.0,1457.0,laptop,Lenovo,2021.0,phone,Samsung,2019.0
136,Thomas Dillon,20,Female,50.0,229-125-3095,Zhangbury,NA,2022-10-23,Python,77.0,inactive,,excellent,126.0,2023-09-22,UZ 100820 Tashkent West John,"{'hobbies': ['born', 'quality'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 3}, 'soft': ['positive', 'shoulder']}, 'family': {'siblings': 1, 'income': {'father': 1346, 'mother': 1186}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2022}]}",Tashkent,,100820,,3.0,1.0,3.0,,1.0,1346.0,1186.0,laptop,HP,2017.0,phone,Samsung,2022.0
137,Dylan Rodriguez,20,Unknown,75.0,NA,North Luketown,NA,2001-04-21,Data Science,,inactive,0.0,unknown,154.0,,"Apartment 40, Jonesborough district, Tashkent, UZ, 100895","{'hobbies': ['bed', 'customer'], 'skills': {'tech': {'python': 5, 'excel': 1, 'sql': 4}, 'soft': ['various', 'son']}, 'family': {'siblings': 4, 'income': {'father': 1009, 'mother': 1110}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2019}]}",Tashkent,Jonesborough district,100895,,5.0,1.0,4.0,,4.0,1009.0,1110.0,laptop,Lenovo,2020.0,phone,Apple,2019.0
138,Brianna Wong,,Unknown,87.0,NA,Sototon,NA,,Python,,inactive,,excellent,111.0,1998-09-03,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""sea"", ""guy""], ""skills"": {""tech"": {""python"": 4, ""excel"": 5, ""sql"": 2}, ""soft"": [""past"", ""during""]}, ""family"": {""siblings"": 4, ""income"": {""father"": 1344, ""mother"": 1336}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Dell"", ""year"": 2024}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2019}]}",Tashkent,,,,4.0,5.0,2.0,,4.0,1344.0,1336.0,laptop,Dell,2024.0,phone,Samsung,2019.0
139,Unknown,22,Unknown,,641-349-0200,Georgestad,kgreen@ortega.com,2015-08-19,Python,,inactive,,unknown,86.0,1975-03-29,UZ 100502 Tashkent West Jennifer,"{'hobbies': ['every', 'small'], 'skills': {'tech': {'python': 3, 'excel': 2, 'sql': 5}, 'soft': ['green', 'there']}, 'family': {'siblings': 4, 'income': {'father': 496, 'mother': 1240}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2021}]}",Tashkent,,100502,,3.0,2.0,5.0,,4.0,496.0,1240.0,laptop,Dell,2017.0,phone,Samsung,2021.0
140,Ann Young,20,Unknown,,690-174-2234,North Leestad,NA,,Python,,active,,  excellent  ,171.0,1984-01-02,"Apartment 50, Kimberlychester district, Tashkent, UZ, 100258","{hobbies:['should', 'especially']}",Tashkent,Kimberlychester district,100258,,,,,,,,,,,,,,
141,Zachary Thornton,20,Unknown,,735-066-8910,Stephensonfurt,NA,1981-03-01,Data Science,,pending,,unknown,218.0,1994-11-04,UZ 100077 Tashkent Aguilarmouth,"{""hobbies"": [""order"", ""hour""], ""skills"": {""tech"": {""python"": 5, ""excel"": 4, ""sql"": 1}, ""soft"": [""smile"", ""check""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 903, ""mother"": 373}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2017}, {""type"": ""phone"", ""brand"": ""Apple"", ""year"": 2023}]}",Tashkent,,100077,,5.0,4.0,1.0,,1.0,903.0,373.0,laptop,Lenovo,2017.0,phone,Apple,2023.0
142,David Graves,20,Female,,596-627-3929,South Johnshire,NA,,Data Science,,active,,unknown,162.0,1982-10-27,"Martinmouth 11-kv, dom 16, Tashkent","{hobbies:['let', 'week']}",Tashkent,dom 16,,,,,,,,,,,,,,,
143,Unknown,20,Female,91.0,311-382-4273,Byrdmouth,johnsamy@hotmail.com,2003-09-11,Python,,pending,3.69,  excellent  ,112.0,2022-11-04,"Apartment 39, Tylerland district, Tashkent, UZ, 100293",INVALID_JSON_DATA,Tashkent,Tylerland district,100293,,,,,,,,,,,,,,
144,Unknown,21,Female,63.0,530-944-5266,Paulchester,bpatel@gmail.com,2009-02-04,Data Science,,pending,,unknown,298.0,1975-05-14,"Lake Matthew 4-kv, dom 24, Tashkent",INVALID_JSON_DATA,Tashkent,dom 24,,,,,,,,,,,,,,,
145,Unknown,18,Unknown,,948-234-5778,South Thomasfort,walkerlisa@hotmail.com,2006-01-10,Data Science,69.0,active,,average,203.0,2022-09-18,"6231 Patrick Inlet, North Robertfurt","{hobbies:['pattern', 'item']}",Tashkent,,,,,,,,,,,,,,,,
146,Theresa Compton,22,Female,,703-528-0200,New Andrew,brownkenneth@montes.info,1985-08-23,Data Science,,inactive,,excellent,146.0,1992-05-30,"East Michaelport 23-kv, dom 49, Tashkent",INVALID_JSON_DATA,Tashkent,dom 49,,,,,,,,,,,,,,,
147,Unknown,18,Male,,547-067-4434,Mitchellton,NA,2022-11-13,Data Science,,inactive,,good,89.0,1973-04-30,"Robertville 11-kv, dom 22, Tashkent","{hobbies:['daughter', 'increase']}",Tashkent,dom 22,,,,,,,,,,,,,,,
148,Louis Gillespie,20,Female,,NA,Port Marymouth,NA,2025-08-20,Python,,inactive,,average,175.0,1982-06-16,"Pamelaborough 22-kv, dom 11, Tashkent","{'hobbies': ['point', 'product'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 2}, 'soft': ['line', 'dream']}, 'family': {'siblings': 4, 'income': {'father': 1056, 'mother': 1038}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2016}, {'type': 'phone', 'brand': 'Samsung', 'year': 2021}]}",Tashkent,dom 11,,,4.0,4.0,2.0,,4.0,1056.0,1038.0,laptop,Dell,2016.0,phone,Samsung,2021.0
149,Unknown,18,Male,,266-209-7518,Shannonhaven,NA,2005-08-23,Data Science,,active,,unknown,297.0,1980-01-05,"Ewingview 29-kv, dom 16, Tashkent","{'hobbies': ['possible', 'should'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 5}, 'soft': ['public', 'soldier']}, 'family': {'siblings': 5, 'income': {'father': 1435, 'mother': 1303}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2021}]}",Tashkent,dom 16,,,1.0,4.0,5.0,,5.0,1435.0,1303.0,laptop,Lenovo,2022.0,phone,Apple,2021.0
150,Unknown,,Unknown,91.0,964-477-7354,Jessicaview,NA,,Data Science,69.0,inactive,,excellent,273.0,1992-10-08,"Port Beth 17-kv, dom 5, Tashkent","{hobbies:['out', 'bank']}",Tashkent,dom 5,,,,,,,,,,,,,,,
151,Natasha Mayer,20,Male,,325-691-8559,Millermouth,NA,2011-06-11,Data Science,,active,,good,173.0,2007-06-07,"579 Alyssa Lake, Port Sarah","{hobbies:['make', 'main']}",Tashkent,,,,,,,,,,,,,,,,
152,Andrew Ramirez,20,Unknown,,075-578-5425,Alicialand,morsetheresa@hotmail.com,2000-07-25,Data Science,,inactive,,  excellent  ,163.0,1991-10-08,"815 Maxwell Pike Apt. 262, Eddiemouth","{""hobbies"": [""morning"", ""chair""], ""skills"": {""tech"": {""python"": 1, ""excel"": 2, ""sql"": 3}, ""soft"": [""way"", ""level""]}, ""family"": {""siblings"": 1, ""income"": {""father"": 367, ""mother"": 1052}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2021}, {""type"": ""phone"", ""brand"": ""Xiaomi"", ""year"": 2020}]}",Tashkent,,,,1.0,2.0,3.0,,1.0,367.0,1052.0,laptop,Lenovo,2021.0,phone,Xiaomi,2020.0
153,Unknown,20,Male,,NA,Lake Nathanport,NA,2015-05-12,Data Science,,active,,unknown,128.0,1982-06-07,"Frankport 5-kv, dom 9, Tashkent",INVALID_JSON_DATA,Tashkent,dom 9,,,,,,,,,,,,,,,
154,Heather Meyers,21,Female,86.0,398-124-9448,East Donaldview,beverly27@martinez.com,2002-02-23,Data Science,87.0,pending,,unknown,175.0,2002-12-06,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['represent', 'statement'], 'skills': {'tech': {'python': 3, 'excel': 1, 'sql': 3}, 'soft': ['right', 'land']}, 'family': {'siblings': 2, 'income': {'father': 1296, 'mother': 574}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2023}]}",Tashkent,,,,3.0,1.0,3.0,,2.0,1296.0,574.0,laptop,HP,2020.0,phone,Apple,2023.0
155,John Blevins,20,Female,,061-017-6352,West Alicia,john04@hotmail.com,2001-08-02,Python,,pending,,unknown,152.0,1970-04-12,"Apartment 14, East Catherinechester district, Tashkent, UZ, 100015","{'hobbies': ['herself', 'long'], 'skills': {'tech': {'python': 4, 'excel': 3, 'sql': 2}, 'soft': ['meet', 'site']}, 'family': {'siblings': 3, 'income': {'father': 851, 'mother': 1191}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2021}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",Tashkent,East Catherinechester district,100015,,4.0,3.0,2.0,,3.0,851.0,1191.0,laptop,Dell,2021.0,phone,Apple,2022.0
156,Unknown,,Unknown,83.0,793-909-5939,Davidshire,NA,2025-01-10,Data Science,,active,,average,114.0,2023-07-15,"Andersonfort 14-kv, dom 48, Tashkent","{'hobbies': ['economic', 'art'], 'skills': {'tech': {'python': 4, 'excel': 2, 'sql': 5}, 'soft': ['example', 'finish']}, 'family': {'siblings': 3, 'income': {'father': 314, 'mother': 1066}}, 'devices': [{'type': 'laptop', 'brand': 'HP', 'year': 2022}, {'type': 'phone', 'brand': 'Apple', 'year': 2020}]}",Tashkent,dom 48,,,4.0,2.0,5.0,,3.0,314.0,1066.0,laptop,HP,2022.0,phone,Apple,2020.0
157,Unknown,20,Unknown,87.0,257-061-0299,Jacksonmouth,NA,1974-01-13,Data Science,,pending,,excellent,248.0,1988-07-20,"19489 Bradford Hill, North Ericchester","{'hobbies': ['summer', 'go'], 'skills': {'tech': {'python': 4, 'excel': 4, 'sql': 1}, 'soft': ['company', 'everything']}, 'family': {'siblings': 4, 'income': {'father': 730, 'mother': 1199}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2017}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",Tashkent,,19489,,4.0,4.0,1.0,,4.0,730.0,1199.0,laptop,Dell,2017.0,phone,Samsung,2024.0
158,Sara Arnold,22,Male,73.0,178-211-0784,Wilsonborough,NA,1977-05-10,Data Science,93.0,inactive,0.0,  excellent  ,238.0,,"BROKEN,ADDRESS,DATA,,,","{""hobbies"": [""southern"", ""various""], ""skills"": {""tech"": {""python"": 4, ""excel"": 4, ""sql"": 4}, ""soft"": [""catch"", ""action""]}, ""family"": {""siblings"": 5, ""income"": {""father"": 461, ""mother"": 1135}}, ""devices"": [{""type"": ""laptop"", ""brand"": ""Lenovo"", ""year"": 2019}, {""type"": ""phone"", ""brand"": ""Samsung"", ""year"": 2021}]}",Tashkent,,,,4.0,4.0,4.0,,5.0,461.0,1135.0,laptop,Lenovo,2019.0,phone,Samsung,2021.0
159,Unknown,20,Unknown,,383-353-6956,North Michael,NA,,Python,70.0,pending,,average,259.0,1992-07-18,"Apartment 29, New Hannahton district, Tashkent, UZ, 100981","{hobbies:['stand', 'what']}",Tashkent,New Hannahton district,100981,,,,,,,,,,,,,,
160,Eric Smith,21,Female,87.0,NA,Maryshire,NA,1983-08-04,Data Science,96.0,inactive,,good,113.0,1975-04-28,"BROKEN,ADDRESS,DATA,,,","{'hobbies': ['identify', 'bag'], 'skills': {'tech': {'python': 4, 'excel': 1, 'sql': 5}, 'soft': ['heavy', 'during']}, 'family': {'siblings': 4, 'income': {'father': 420, 'mother': 723}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2024}, {'type': 'phone', 'brand': 'Samsung', 'year': 2024}]}",Tashkent,,,,4.0,1.0,5.0,,4.0,420.0,723.0,laptop,Lenovo,2024.0,phone,Samsung,2024.0
161,Unknown,20,Male,50.0,NA,Davenportshire,NA,2010-04-18,Python,84.0,pending,2.92,unknown,223.0,2008-12-09,"Apartment 21, Thomasfurt district, Tashkent, UZ, 100606","{'hobbies': ['campaign', 'and'], 'skills': {'tech': {'python': 1, 'excel': 2, 'sql': 3}, 'soft': ['until', 'prepare']}, 'family': {'siblings': 4, 'income': {'father': 1060, 'mother': 1281}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2020}, {'type': 'phone', 'brand': 'Apple', 'year': 2022}]}",Tashkent,Thomasfurt district,100606,,1.0,2.0,3.0,,4.0,1060.0,1281.0,laptop,Lenovo,2020.0,phone,Apple,2022.0
162,Ryan Jones,20,Female,67.0,NA,West Saraborough,NA,,Data Science,,active,4.35,  excellent  ,231.0,2019-12-21,"795 Martinez Springs, Edwardsshire",INVALID_JSON_DATA,Tashkent,,,,,,,,,,,,,,,,
163,Ana Ruiz,,Male,92.0,003-242-4417,Andrewston,longsheila@price.org,,Data Science,,pending,3.96,unknown,141.0,1976-12-20,"3281 Kathleen Court, Port Stephenview","{'hobbies': ['animal', 'wind'], 'skills': {'tech': {'python': 1, 'excel': 4, 'sql': 4}, 'soft': ['suggest', 'question']}, 'family': {'siblings': 2, 'income': {'father': 225, 'mother': 1014}}, 'devices': [{'type': 'laptop', 'brand': 'Lenovo', 'year': 2016}, {'type': 'phone', 'brand': 'Xiaomi', 'year': 2019}]}",Tashkent,,,,1.0,4.0,4.0,,2.0,225.0,1014.0,laptop,Lenovo,2016.0,phone,Xiaomi,2019.0
164,Thomas Cohen,21,Male,,762-960-2831,Merrittport,ashleywoodard@roberts-reynolds.biz,1976-04-18,Data Science,,pending,,average,287.0,1984-01-04,UZ 100220 Tashkent Lake Ronaldshire,INVALID_JSON_DATA,Tashkent,,100220,,,,,,,,,,,,,,
165,Donald Shields,20,Unknown,85.0,NA,South Katelynberg,ucaldwell@yahoo.com,2019-11-15,Python,,inactive,0.0,good,277.0,2014-02-22,"Apartment 9, New Mariahton district, Tashkent, UZ, 100768","{hobbies:['however', 'bank']}",Tashkent,New Mariahton district,100768,,,,,,,,,,,,,,
166,Kathleen Taylor,18,Male,,516-297-5629,Lake Jason,theresa17@sanchez.com,2015-02-16,Data Science,,active,0.0,  excellent  ,226.0,1995-02-08,"Apartment 6, South Thomas district, Tashkent, UZ, 100972",INVALID_JSON_DATA,Tashkent,South Thomas district,100972,,,,,,,,,,,,,,
167,Michael Ho,20,Female,73.0,NA,West Timothyburgh,jacob69@hotmail.com,,Data Science,,inactive,,average,266.0,,"BROKEN,ADDRESS,DATA,,,","{hobbies:['her', 'tonight']}",Tashkent,,,,,,,,,,,,,,,,
168,Heather Peterson,19,Male,,NA,Cooperside,meyerjean@hotmail.com,1998-07-28,Python,98.0,inactive,0.0,  excellent  ,262.0,,"Apartment 10, Tracyborough district, Tashkent, UZ, 100253","{'hobbies': ['real', 'only'], 'skills': {'tech': {'python': 4, 'excel': 5, 'sql': 2}, 'soft': ['performance', 'company']}, 'family': {'siblings': 0, 'income': {'father': 375, 'mother': 914}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2020}, {'type': 'phone', 'brand': 'Samsung', 'year': 2019}]}",Tashkent,Tracyborough district,100253,,4.0,5.0,2.0,,0.0,375.0,914.0,laptop,Dell,2020.0,phone,Samsung,2019.0
169,Jacob Joyce,,Female,,580-551-7869,East Kristin,mitchellamy@hotmail.com,1981-02-09,Python,,pending,,unknown,201.0,2019-01-29,UZ 100234 Tashkent West Michelle,"{'hobbies': ['according', 'particularly'], 'skills': {'tech': {'python': 2, 'excel': 4, 'sql': 2}, 'soft': ['sort', 'pay']}, 'family': {'siblings': 2, 'income': {'father': 953, 'mother': 266}}, 'devices': [{'type': 'laptop', 'brand': 'Dell', 'year': 2023}, {'type': 'phone', 'brand': 'Apple', 'year': 2024}]}",Tashkent,,100234,,2.0,4.0,2.0,,2.0,953.0,266.0,laptop,Dell,2023.0,phone,Apple,2024.0
